import time: self [us] | cumulative | imported package
import time:      1877 |       2838 |           OpenGL.GL.VERSION.GL_1_5
import time:      1982 |       1982 |             OpenGL.raw.GL.VERSION.GL_2_0
import time:      1334 |       1334 |             OpenGL.raw.GL.ARB.shader_objects
import time:      3097 |       6412 |           OpenGL.GL.VERSION.GL_2_0
import time:      1211 |       1211 |             OpenGL.raw.GL.VERSION.GL_2_1
import time:      2413 |       3623 |           OpenGL.GL.VERSION.GL_2_1
import time:      2258 |       2258 |           OpenGL.GL.VERSION.GL_3_0
import time:      1029 |       1029 |             OpenGL.raw.GL.VERSION.GL_3_1
import time:      1981 |       3010 |           OpenGL.GL.VERSION.GL_3_1
import time:      1082 |       1082 |             OpenGL.raw.GL.VERSION.GL_3_2
import time:      1366 |       2447 |           OpenGL.GL.VERSION.GL_3_2
import time:      1134 |       1134 |             OpenGL.raw.GL.VERSION.GL_3_3
import time:      2977 |       4110 |           OpenGL.GL.VERSION.GL_3_3
import time:      1578 |       1578 |             OpenGL.raw.GL.VERSION.GL_4_0
import time:      2498 |       4075 |           OpenGL.GL.VERSION.GL_4_0
import time:      2986 |       2986 |             OpenGL.raw.GL.VERSION.GL_4_1
import time:       819 |        819 |               OpenGL.raw.GL.ARB.ES2_compatibility
import time:      1551 |       2370 |             OpenGL.GL.ARB.ES2_compatibility
import time:      1361 |       1361 |               OpenGL.raw.GL.ARB.get_program_binary
import time:      2136 |       3497 |             OpenGL.GL.ARB.get_program_binary
import time:      2145 |       2145 |               OpenGL.raw.GL.ARB.separate_shader_objects
import time:      2780 |       4925 |             OpenGL.GL.ARB.separate_shader_objects
import time:       417 |        417 |               OpenGL.raw.GL.ARB.shader_precision
import time:      1006 |       1423 |             OpenGL.GL.ARB.shader_precision
import time:       834 |        834 |               OpenGL.raw.GL.ARB.vertex_attrib_64bit
import time:      1178 |       2011 |             OpenGL.GL.ARB.vertex_attrib_64bit
import time:      1023 |       1023 |               OpenGL.raw.GL.ARB.viewport_array
import time:      1329 |       2352 |             OpenGL.GL.ARB.viewport_array
import time:      6294 |      25855 |           OpenGL.GL.VERSION.GL_4_1
import time:      1570 |       1570 |             OpenGL.raw.GL.VERSION.GL_4_2
import time:       635 |        635 |               OpenGL.raw.GL.ARB.base_instance
import time:      1190 |       1825 |             OpenGL.GL.ARB.base_instance
import time:       484 |        484 |               OpenGL.raw.GL.ARB.shading_language_420pack
import time:       990 |       1473 |             OpenGL.GL.ARB.shading_language_420pack
import time:       496 |        496 |               OpenGL.raw.GL.ARB.transform_feedback_instanced
import time:       920 |       1415 |             OpenGL.GL.ARB.transform_feedback_instanced
import time:       457 |        457 |               OpenGL.raw.GL.ARB.compressed_texture_pixel_storage
import time:       855 |       1312 |             OpenGL.GL.ARB.compressed_texture_pixel_storage
import time:       592 |        592 |               OpenGL.raw.GL.ARB.conservative_depth
import time:       936 |       1528 |             OpenGL.GL.ARB.conservative_depth
import time:       416 |        416 |               OpenGL.raw.GL.ARB.internalformat_query
import time:       779 |       1194 |             OpenGL.GL.ARB.internalformat_query
import time:      1634 |       1634 |               OpenGL.raw.GL.ARB.map_buffer_alignment
import time:      1538 |       3172 |             OpenGL.GL.ARB.map_buffer_alignment
import time:      1206 |       1206 |               OpenGL.raw.GL.ARB.shader_atomic_counters
import time:      1777 |       2983 |             OpenGL.GL.ARB.shader_atomic_counters
